Dataset 08 full benchmark
==========================
Frames: 271
Total time: 5.878 s
Average processing: 21.688 ms/frame
Measured processing rate: 46.11 FPS
Frame time range: 17.108-35.322 ms
Total points: 34,069,557
Points/frame: 121,965-127,321, average 125,717.9
Total cells: 13,923,793
Cells/frame: 38,258-61,521, average 51,379.3
Average reduction: 59.13%
Reduction range: 50.87-69.88%
Peak working memory: 1,179.82 MB
Peak private/pagefile memory: 1,651.96 MB
Predictions loaded: 271/271

Per-frame timings
-----------------
frame,time_ms,points,cells,reduction_percent
183,20.218,126900,50828,59.95
184,19.732,126774,49321,61.10
185,18.285,126535,48441,61.72
186,17.293,126523,47580,62.39
187,18.380,126424,47359,62.54
188,19.441,126501,47758,62.25
189,18.697,126616,47901,62.17
190,18.081,126648,48207,61.94
191,20.444,126701,48837,61.45
192,20.208,126582,49468,60.92
193,21.179,126542,49728,60.70
194,19.904,126451,50419,60.13
195,20.150,126343,50776,59.81
196,19.777,126307,51531,59.20
197,20.879,126208,51861,58.91
198,22.889,126115,52348,58.49
199,19.719,126041,53035,57.92
200,18.283,125953,53665,57.39
201,18.869,125860,53920,57.16
202,22.696,125764,54352,56.78
203,20.764,125743,54903,56.34
204,21.974,125543,55190,56.04
205,21.871,125566,55589,55.73
206,30.107,125442,55678,55.61
207,24.186,125429,55750,55.55
208,22.198,125438,56099,55.28
209,24.806,125417,55980,55.36
210,35.322,125126,55590,55.57
211,25.573,125099,55701,55.47
212,24.782,125007,55825,55.34
213,24.008,125018,55529,55.58
214,19.222,125132,55344,55.77
215,19.632,125290,54640,56.39
216,23.601,125415,54231,56.76
217,19.551,125449,53921,57.02
218,21.532,125503,54250,56.77
219,19.036,125561,54830,56.33
220,19.955,125540,55655,55.67
221,20.237,125809,56404,55.17
222,20.904,125898,57081,54.66
223,19.992,125901,57646,54.21
224,24.021,126010,57789,54.14
225,21.537,126123,57815,54.16
226,25.672,126177,57856,54.15
227,20.542,126166,58288,53.80
228,24.611,126081,57902,54.08
229,20.443,125993,58079,53.90
230,21.411,126096,58216,53.83
231,22.303,125889,58089,53.86
232,19.847,125894,58208,53.76
233,23.056,125819,58319,53.65
234,21.794,125541,57993,53.81
235,20.991,125437,58092,53.69
236,21.439,125328,58053,53.68
237,20.068,125301,58532,53.29
238,19.799,125135,58853,52.97
239,22.194,125033,60076,51.95
240,19.898,125271,60390,51.79
241,22.026,125214,60631,51.58
242,20.813,125244,61449,50.94
243,19.015,125317,60984,51.34
244,22.175,125277,61247,51.11
245,20.743,125309,61304,51.08
246,21.575,125262,61502,50.90
247,22.688,125212,61521,50.87
248,21.201,125225,61375,50.99
249,20.956,125357,61218,51.17
250,21.156,125227,60451,51.73
251,21.161,125333,60373,51.83
252,22.759,125216,59814,52.23
253,22.365,125192,59387,52.56
254,21.397,124981,58814,52.94
255,22.141,124899,58633,53.06
256,27.482,124846,58726,52.96
257,24.328,124909,58463,53.20
258,23.105,124795,58460,53.16
259,25.564,124448,57241,54.00
260,22.594,124603,56272,54.84
261,21.069,124446,56657,54.47
262,21.806,124377,56526,54.55
263,20.730,124550,56640,54.52
264,20.368,124708,56923,54.35
265,19.409,124465,56998,54.21
266,20.037,123549,56954,53.90
267,31.249,122372,56776,53.60
268,31.492,122232,56468,53.80
269,29.156,121965,56980,53.28
270,31.131,122676,56931,53.59
